timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1720541463047,1216,singleRequest,200,,Thread Group 1-2138,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1216,0,0
1720541463047,1216,singleRequest,200,,Thread Group 1-2138,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1216,0,0
1720541463137,1126,singleRequest,200,,Thread Group 1-2309,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1126,0,0
1720541463137,1126,singleRequest,200,,Thread Group 1-2309,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1126,0,0
1720541463029,1235,singleRequest,200,,Thread Group 1-2105,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1235,0,0
1720541463029,1235,singleRequest,200,,Thread Group 1-2105,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1235,0,0
1720541463146,1118,singleRequest,200,,Thread Group 1-2327,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1118,0,5
1720541463146,1118,singleRequest,200,,Thread Group 1-2327,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1118,0,5
1720541463049,1216,singleRequest,200,,Thread Group 1-2144,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1216,0,1
1720541463049,1216,singleRequest,200,,Thread Group 1-2144,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1216,0,1
1720541463064,1201,singleRequest,200,,Thread Group 1-2184,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1201,0,1
1720541463064,1201,singleRequest,200,,Thread Group 1-2184,text,true,,505,1319,2511,2511,http://localhost:8080/api/v1/email/send,1201,0,1
1720541463085,1181,singleRequest,200,,Thread Group 1-2232,text,true,,505,1319,2510,2510,http://localhost:8080/api/v1/email/send,1181,0,0
1720541463085,1181,singleRequest,200,,Thread Group 1-2232,text,true,,505,1319,2510,2510,http://localhost:8080/api/v1/email/send,1181,0,0
1720541463140,1130,singleRequest,200,,Thread Group 1-2316,text,true,,505,1319,2523,2523,http://localhost:8080/api/v1/email/send,1130,0,13
1720541463140,1130,singleRequest,200,,Thread Group 1-2316,text,true,,505,1319,2523,2523,http://localhost:8080/api/v1/email/send,1130,0,13
1720541463092,1178,singleRequest,200,,Thread Group 1-2253,text,true,,505,1319,2522,2522,http://localhost:8080/api/v1/email/send,1178,0,1
